location_id,Max_dn,ISP_Max_dn,Max_up,ISP_Max_up,BEAD_status,address
1289816720,,,,, served,23550 CASA LOMA RD GROVELAND CA
1289816721,,,,, served,23059 HELLS HOLLOW RD GROVELAND CA
1289816722,,,,, served,9825 SHORT LINE RD GROVELAND CA
1289816723,,,,, served,23625 ROCK HAMMER RD GROVELAND CA
1289816724,,,,, served,9720 SMITH STATION RD GROVELAND CA
1289816725,,,,, served,22999 ELMORE RD GROVELAND CA
1289816726,,,,, served,23101 HELLS HOLLOW RD GROVELAND CA
1289816727,,,,,unserved,27890 STATE HIGHWAY 120 GROVELAND CA
1289816728,,,,, served,23235 ELMORE RD GROVELAND CA
1289816730,,,,, served,9065 SMITH STATION RD GROVELAND CA
1289816731,,,,, served,9053 SMITH STATION RD GROVELAND CA
1289816732,,,,, served,9744 SMITH STATION RD GROVELAND CA
1289816733,,,,, served,23111 ELMORE RD GROVELAND CA
1289816734,,,,,unserved,24720 STATE HIGHWAY 120 GROVELAND CA
1289816735,,,,, served,9880 SMITH STATION RD GROVELAND CA
1289816736,,,,, served,9045 SMITH STATION RD GROVELAND CA
1289816739,,,,, served,9848 SMITH STATION RD GROVELAND CA
1289816740,,,,,unserved,23015 SPRAGUE RD E GROVELAND CA
1289816741,,,,,underserved,9001 SMITH STATION RD GROVELAND CA
1289816742,,,,, served,23555 ROCK HAMMER RD GROVELAND CA
1289816743,,,,, served,24025 STATE HIGHWAY 120 GROVELAND CA
1289816744,,,,, served,23350 STATE HIGHWAY 120 GROVELAND CA
1289816745,,,,, served,23066 HELLS HOLLOW RD GROVELAND CA
1289816746,,,,,unserved,27581 PACKARD CANYON RD GROVELAND CA
1289816747,,,,, served,9709 SMITH STATION RD GROVELAND CA
1289816748,,,,, served,9810 SMITH STATION RD GROVELAND CA
1289816749,,,,, served,24000 CASA LOMA RD BLDG 2 GROVELAND CA
1289816751,,,,, served,23633 ROCK HAMMER RD BLDG 2 GROVELAND CA
1289816756,,,,, served,10725 BUCKTAIL DR GROVELAND CA
1289816771,,,,, served,35846 FOREST ROUTE 1S02 RD GROVELAND CA
1289816792,,,,, served,10551 SMITH STATION RD GROVELAND CA
1289816796,,,,, served,20497 ROCK CANYON WAY GROVELAND CA
1289816797,,,,, served,20484 ROCK CANYON WAY GROVELAND CA
1289816798,,,,, served,20504 ROCK CANYON WAY GROVELAND CA
1289816799,,,,, served,20351 PINE MOUNTAIN DR GROVELAND CA
1289816800,,,,, served,20439 ROCK CANYON WAY GROVELAND CA
1289816801,,,,, served,20362 PINE MOUNTAIN DR GROVELAND CA
1289816802,,,,, served,20220 FERRET CT GROVELAND CA
1289816803,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 9 GROVELAND CA
1289816804,,,,, served,20457 ROCK CANYON WAY GROVELAND CA
1289816805,,,,, served,20578 NOB HILL CIR GROVELAND CA
1289816806,,,,, served,12991 DOWN TO EARTH CT GROVELAND CA
1289816807,,,,, served,20505 ROCK CANYON WAY GROVELAND CA
1289816808,25,AT&T,3,AT&T, served,20336 PINE MOUNTAIN DR GROVELAND CA
1289816809,,,,, served,20260 FERRET CT GROVELAND CA
1289816810,,,,, served,20458 ROCK CANYON WAY GROVELAND CA
1289816811,,,,, served,12980 DOWN TO EARTH CT GROVELAND CA
1289816812,,,,, served,20472 ROCK CANYON WAY GROVELAND CA
1289816813,,,,, served,13000 DOWN TO EARTH CT GROVELAND CA
1289816814,,,,, served,20523 FERRETTI RD GROVELAND CA
1289816815,,,,, served,12861 BOITANO RD GROVELAND CA
1289816816,,,,, served,20445 ROCK CANYON WAY GROVELAND CA
1289816817,,,,, served,20350 PINE MOUNTAIN DR GROVELAND CA
1289816818,,,,, served,20433 ROCK CANYON WAY GROVELAND CA
1289816819,,,,, served,20452 ROCK CANYON WAY GROVELAND CA
1289816820,,,,, served,20460 ROCK CANYON WAY GROVELAND CA
1289816821,,,,, served,20990 ROCK CANYON WAY GROVELAND CA
1289816822,,,,, served,14151 BOITANO RD GROVELAND CA
1289816823,,,,, served,20462 ROCK CANYON WAY GROVELAND CA
1289816824,25,AT&T,3,AT&T, served,20332 PINE MOUNTAIN DR GROVELAND CA
1289816825,,,,, served,20403 ROCK CANYON WAY GROVELAND CA
1289816826,,,,, served,20481 ROCK CANYON WAY GROVELAND CA
1289816827,,,,, served,20421 ROCK CANYON WAY GROVELAND CA
1289816828,,,,, served,20339 PINE MOUNTAIN DR GROVELAND CA
1289816829,10,AT&T,<1,AT&T, served,12930 BOITANO RD GROVELAND CA
1289816830,,,,, served,20498 ROCK CANYON WAY GROVELAND CA
1289816831,10,AT&T,<1,AT&T, served,20110 FERRET CT GROVELAND CA
1289816832,,,,, served,13073 BOITANO RD GROVELAND CA
1289816833,,,,, served,20469 ROCK CANYON WAY GROVELAND CA
1289816834,,,,, served,20355 ROCK CANYON WAY GROVELAND CA
1289816836,,,,, served,20450 ROCK CANYON WAY GROVELAND CA
1289816837,,,,, served,20478 ROCK CANYON WAY GROVELAND CA
1289816838,,,,, served,20464 ROCK CANYON WAY GROVELAND CA
1289816839,25,AT&T,3,AT&T, served,20487 ROCK CANYON WAY GROVELAND CA
1289816840,,,,, served,20454 ROCK CANYON WAY GROVELAND CA
1289816841,25,AT&T,3,AT&T, served,20335 PINE MOUNTAIN DR GROVELAND CA
1289816842,,,,, served,20596 QUAIL RIDGE LN GROVELAND CA
1289816843,,,,, served,20456 ROCK CANYON WAY GROVELAND CA
1289816844,,,,, served,20415 ROCK CANYON WAY GROVELAND CA
1289816845,,,,, served,20449 ROCK CANYON WAY GROVELAND CA
1289816846,,,,, served,20327 PINE MOUNTAIN DR GROVELAND CA
1289816847,,,,, served,20354 PINE MOUNTAIN DR GROVELAND CA
1289816848,,,,, served,20598 NOB HILL CIR GROVELAND CA
1289816849,,,,, served,20590 NOB HILL CIR GROVELAND CA
1289816850,,,,, served,20319 PINE MOUNTAIN DR GROVELAND CA
1289816851,25,AT&T,3,AT&T, served,20130 FERRET CT GROVELAND CA
1289816862,,,,,unserved, GROVELAND CA
1289816871,,,,, served,12816 BOITANO RD GROVELAND CA
1289816872,,,,, served,20436 ROCK CANYON WAY GROVELAND CA
1289816873,,,,, served,20430 ROCK CANYON WAY GROVELAND CA
1289816874,25,AT&T,3,AT&T, served,20190 FERRET CT GROVELAND CA
1289816875,,,,, served,20448 ROCK CANYON WAY GROVELAND CA
1289816876,,,,, served,20444 ROCK CANYON WAY GROVELAND CA
1289816877,,,,, served,12782 BOITANO RD GROVELAND CA
1289816878,,,,, served,12786 BOITANO RD GROVELAND CA
1289816879,,,,, served,20600 QUAIL RIDGE LN GROVELAND CA
1289816880,,,,, served,12801 BOITANO RD GROVELAND CA
1289816883,10,Verizon,1,Verizon, served,8095 HETCH HETCHY RD GROVELAND CA
1289816893,,,,,unserved, GROVELAND CA
1289816921,,,,, served,14387 STATE HIGHWAY 120 GROVELAND CA
1289816937,,,,, served,35892 FOREST ROUTE 1S02 RD GROVELAND CA
1289816950,,,,, served,35053 EVERGREEN RD GROVELAND CA
1289816951,,,,,unserved,32312 EVERGREEN RD GROVELAND CA
1289816952,,,,, served,32896 EVERGREEN RD GROVELAND CA
1289816954,,,,, served,33052 EVERGREEN RD GROVELAND CA
